Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
568963,19.0,28.0,23.0,41.0,34.0
571144,25.0,21.0,24.0,36.0,26.0
572045,17.0,32.0,38.0,29.0,42.0
573249,8.0,41.0,29.0,29.0,39.0
573451,9.0,27.0,16.0,39.0,26.0
576255,16.0,38.0,42.0,29.0,36.0
578057,16.0,34.0,24.0,42.0,42.0
579867,9.0,36.0,28.0,38.0,44.0
580044,16.0,29.0,32.0,36.0,36.0
580347,28.0,40.0,26.0,33.0,30.0
580650,20.0,16.0,27.0,38.0,31.0
580751,7.0,32.0,33.0,25.0,37.0
581450,12.0,39.0,23.0,36.0,32.0
583858,11.0,32.0,27.0,41.0,27.0
585256,27.0,28.0,32.0,38.0,23.0
587664,16.0,39.0,24.0,36.0,35.0
588565,28.0,20.0,17.0,21.0,26.0
589567,18.0,35.0,29.0,39.0,25.0
590047,25.0,29.0,36.0,21.0,29.0
592455,14.0,35.0,27.0,39.0,32.0
594156,4.0,38.0,21.0,38.0,39.0
597869,21.0,30.0,23.0,35.0,27.0
599065,1.0,42.0,39.0,37.0,41.0
599469,16.0,39.0,37.0,42.0,41.0
599671,12.0,41.0,32.0,40.0,38.0
601127,25.0,22.0,33.0,21.0,41.0
604537,17.0,24.0,32.0,29.0,29.0
609143,18.0,29.0,41.0,31.0,36.0
611938,13.0,32.0,31.0,42.0,23.0
613538,12.0,34.0,24.0,34.0,33.0
614439,,,,,
615441,9.0,27.0,22.0,35.0,34.0
615744,8.0,36.0,18.0,37.0,31.0
616645,13.0,27.0,28.0,39.0,31.0
617748,27.0,26.0,33.0,31.0,32.0
618952,8.0,37.0,42.0,33.0,44.0
620434,19.0,34.0,25.0,37.0,33.0
622236,17.0,39.0,29.0,33.0,33.0
623844,20.0,26.0,31.0,40.0,20.0
626648,17.0,25.0,26.0,29.0,27.0
627852,22.0,33.0,31.0,30.0,33.0
628248,13.0,31.0,27.0,44.0,34.0
633847,2.0,37.0,35.0,39.0,48.0
634748,20.0,33.0,40.0,40.0,43.0
635245,4.0,42.0,32.0,29.0,27.0
645450,12.0,31.0,31.0,36.0,36.0
647858,13.0,28.0,22.0,34.0,34.0
654350,13.0,35.0,34.0,35.0,29.0
654552,18.0,33.0,26.0,35.0,34.0
656253,8.0,17.0,30.0,27.0,42.0
656657,14.0,30.0,26.0,33.0,39.0
657659,7.0,32.0,29.0,35.0,42.0
660951,12.0,31.0,18.0,36.0,35.0
662551,16.0,31.0,24.0,25.0,26.0
663755,15.0,40.0,28.0,33.0,33.0
664757,13.0,36.0,22.0,35.0,26.0
667056,23.0,24.0,27.0,34.0,30.0
668361,15.0,29.0,27.0,43.0,31.0
671855,13.0,36.0,32.0,31.0,31.0
673455,5.0,29.0,26.0,48.0,43.0
675661,31.0,25.0,30.0,30.0,24.0
677766,37.0,24.0,20.0,20.0,13.0
679568,28.0,21.0,32.0,27.0,42.0
679770,13.0,30.0,28.0,33.0,33.0
680250,25.0,35.0,37.0,26.0,30.0
680452,19.0,38.0,17.0,32.0,39.0
683256,8.0,34.0,25.0,36.0,34.0
686969,18.0,35.0,20.0,31.0,31.0
687163,13.0,40.0,42.0,35.0,29.0
690152,16.0,32.0,40.0,39.0,41.0
692964,28.0,38.0,33.0,35.0,25.0
693764,21.0,28.0,29.0,31.0,33.0
694362,22.0,32.0,26.0,37.0,37.0
695768,16.0,32.0,26.0,35.0,32.0
698168,23.0,38.0,39.0,28.0,43.0
700634,14.0,30.0,36.0,36.0,30.0
706040,22.0,21.0,20.0,30.0,29.0
707749,31.0,32.0,23.0,29.0,29.0
709551,3.0,40.0,33.0,41.0,42.0
715041,18.0,37.0,30.0,44.0,36.0
715950,14.0,36.0,22.0,32.0,31.0
720337,5.0,24.0,25.0,43.0,32.0
723141,31.0,29.0,39.0,36.0,33.0
724446,15.0,36.0,28.0,35.0,34.0
725751,9.0,38.0,30.0,40.0,29.0
727553,21.0,35.0,36.0,23.0,30.0
727654,23.0,31.0,22.0,35.0,30.0
728454,18.0,32.0,22.0,39.0,27.0
729254,30.0,22.0,32.0,19.0,28.0
731140,11.0,35.0,33.0,38.0,42.0
735148,14.0,39.0,24.0,35.0,20.0
737960,38.0,34.0,43.0,28.0,41.0
742549,22.0,26.0,25.0,30.0,38.0
744553,3.0,47.0,28.0,44.0,45.0
748662,16.0,34.0,25.0,25.0,41.0
749058,9.0,33.0,31.0,34.0,34.0
753150,15.0,26.0,24.0,30.0,33.0
757764,15.0,20.0,32.0,31.0,29.0
759869,9.0,26.0,29.0,40.0,33.0
760551,18.0,30.0,25.0,40.0,38.0
763557,27.0,33.0,37.0,27.0,28.0
765864,27.0,33.0,35.0,26.0,35.0
767464,21.0,27.0,20.0,34.0,28.0
769064,6.0,33.0,31.0,44.0,32.0
770352,11.0,36.0,19.0,42.0,39.0
771354,19.0,20.0,21.0,35.0,37.0
773257,11.0,38.0,22.0,31.0,32.0
774663,10.0,42.0,31.0,40.0,27.0
779370,14.0,30.0,25.0,34.0,32.0
782561,18.0,28.0,30.0,30.0,31.0
783462,7.0,31.0,28.0,35.0,42.0
784565,20.0,32.0,19.0,31.0,32.0
788674,23.0,35.0,18.0,35.0,41.0
789373,12.0,27.0,29.0,31.0,26.0
792766,15.0,29.0,24.0,29.0,31.0
792867,10.0,23.0,33.0,36.0,36.0
793465,5.0,29.0,26.0,29.0,36.0
800941,17.0,36.0,27.0,29.0,30.0
802844,14.0,30.0,22.0,37.0,31.0
803240,12.0,34.0,17.0,26.0,30.0
804646,7.0,43.0,43.0,38.0,31.0
809252,15.0,35.0,24.0,33.0,28.0
810843,24.0,30.0,29.0,37.0,14.0
812746,26.0,32.0,24.0,32.0,16.0
814548,13.0,33.0,31.0,43.0,34.0
814649,5.0,33.0,29.0,35.0,36.0
815247,11.0,30.0,15.0,39.0,30.0
816653,17.0,33.0,24.0,40.0,40.0
818455,17.0,31.0,40.0,24.0,38.0
818859,20.0,32.0,28.0,33.0,31.0
820745,23.0,24.0,18.0,32.0,36.0
825048,15.0,22.0,29.0,39.0,35.0
825553,20.0,33.0,23.0,29.0,33.0
825654,5.0,37.0,21.0,48.0,42.0
826454,8.0,28.0,40.0,44.0,40.0
827052,16.0,24.0,32.0,35.0,35.0
828862,14.0,25.0,19.0,40.0,44.0
832651,10.0,34.0,31.0,23.0,33.0
833148,6.0,37.0,29.0,47.0,46.0
833249,14.0,30.0,27.0,33.0,34.0
835657,35.0,30.0,19.0,31.0,29.0
837560,27.0,27.0,28.0,29.0,25.0
837964,21.0,23.0,15.0,36.0,33.0
841349,13.0,31.0,23.0,37.0,23.0
843151,27.0,25.0,29.0,22.0,35.0
844961,15.0,22.0,30.0,38.0,34.0
845458,16.0,27.0,25.0,36.0,35.0
849264,23.0,30.0,17.0,31.0,30.0
849971,7.0,43.0,40.0,42.0,45.0
852455,28.0,24.0,23.0,38.0,25.0
856968,17.0,25.0,37.0,36.0,26.0
867468,16.0,25.0,26.0,39.0,28.0
869472,14.0,34.0,30.0,34.0,37.0
870861,6.0,32.0,29.0,37.0,43.0
871762,12.0,32.0,35.0,31.0,39.0
872562,18.0,33.0,24.0,31.0,30.0
872764,10.0,35.0,34.0,38.0,37.0
873968,11.0,32.0,44.0,26.0,40.0
877269,13.0,23.0,22.0,38.0,39.0
878776,17.0,35.0,26.0,33.0,27.0
878877,13.0,30.0,28.0,32.0,30.0
880157,8.0,31.0,32.0,38.0,41.0
882161,15.0,34.0,30.0,34.0,32.0
884064,29.0,22.0,26.0,38.0,34.0
886674,22.0,23.0,37.0,23.0,26.0
888678,5.0,28.0,33.0,41.0,27.0
891667,15.0,38.0,18.0,36.0,36.0
894067,10.0,36.0,25.0,39.0,30.0
894774,2.0,39.0,37.0,36.0,41.0
898176,24.0,28.0,24.0,32.0,36.0
901038,15.0,33.0,25.0,38.0,32.0
901442,14.0,38.0,21.0,31.0,35.0
902242,20.0,28.0,39.0,21.0,31.0
905147,14.0,30.0,30.0,27.0,32.0
907656,18.0,21.0,20.0,24.0,29.0
908860,34.0,24.0,40.0,11.0,32.0
910241,16.0,35.0,40.0,34.0,33.0
910443,11.0,37.0,32.0,37.0,39.0
911849,14.0,37.0,43.0,31.0,39.0
912447,21.0,29.0,19.0,31.0,32.0
917558,13.0,31.0,31.0,37.0,42.0
919966,15.0,35.0,27.0,38.0,39.0
922854,3.0,34.0,19.0,41.0,34.0
923755,2.0,33.0,29.0,27.0,38.0
926862,15.0,28.0,29.0,32.0,29.0
927359,3.0,39.0,24.0,38.0,37.0
930449,17.0,24.0,31.0,35.0,38.0
933253,12.0,28.0,28.0,39.0,31.0
942658,9.0,35.0,30.0,41.0,34.0
943862,10.0,29.0,29.0,33.0,37.0
947668,26.0,29.0,20.0,31.0,25.0
952863,17.0,35.0,40.0,44.0,26.0
955465,17.0,34.0,25.0,33.0,31.0
957974,18.0,29.0,32.0,34.0,34.0
958976,22.0,21.0,29.0,22.0,34.0
962058,14.0,31.0,24.0,40.0,38.0
965367,13.0,33.0,28.0,26.0,28.0
965771,13.0,32.0,23.0,44.0,26.0
966975,22.0,32.0,25.0,36.0,33.0
969476,20.0,19.0,21.0,35.0,26.0
970764,17.0,36.0,30.0,36.0,41.0
971160,30.0,34.0,36.0,37.0,32.0
978578,27.0,19.0,35.0,28.0,31.0
979984,18.0,28.0,37.0,36.0,31.0
983773,30.0,30.0,36.0,31.0,34.0
987074,20.0,24.0,28.0,28.0,37.0
987983,13.0,34.0,41.0,32.0,32.0
989987,17.0,30.0,24.0,34.0,35.0
990366,12.0,29.0,23.0,34.0,31.0
991267,10.0,27.0,27.0,27.0,28.0
992673,7.0,25.0,30.0,37.0,43.0
993675,10.0,24.0,31.0,37.0,42.0
994273,22.0,27.0,32.0,29.0,28.0
996782,20.0,22.0,32.0,35.0,34.0
