Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
138837,22.0,28.0,30.0,32.0,25.0
139233,11.0,42.0,23.0,39.0,40.0
139435,11.0,26.0,18.0,37.0,34.0
139839,17.0,37.0,32.0,33.0,40.0
140117,24.0,40.0,17.0,31.0,40.0
140319,22.0,33.0,40.0,21.0,41.0
140824,15.0,26.0,36.0,16.0,27.0
140925,23.0,30.0,27.0,34.0,23.0
141119,23.0,37.0,33.0,29.0,32.0
141422,16.0,25.0,25.0,34.0,35.0
141826,13.0,31.0,29.0,37.0,35.0
143224,18.0,30.0,25.0,36.0,35.0
143426,18.0,28.0,24.0,36.0,38.0
143830,23.0,31.0,22.0,29.0,27.0
144125,25.0,40.0,19.0,44.0,40.0
144731,13.0,20.0,24.0,44.0,42.0
144832,18.0,27.0,24.0,35.0,30.0
144933,38.0,32.0,34.0,26.0,27.0
145127,14.0,32.0,24.0,40.0,41.0
145632,41.0,28.0,29.0,16.0,24.0
145834,21.0,31.0,30.0,28.0,33.0
146129,11.0,41.0,22.0,39.0,31.0
146331,22.0,31.0,27.0,39.0,34.0
146432,13.0,32.0,33.0,40.0,37.0
146533,15.0,28.0,31.0,32.0,34.0
146735,16.0,24.0,25.0,40.0,31.0
146836,19.0,31.0,29.0,31.0,32.0
146937,16.0,38.0,28.0,40.0,35.0
147030,12.0,46.0,31.0,35.0,36.0
147636,21.0,18.0,29.0,27.0,37.0
147737,38.0,25.0,25.0,39.0,31.0
148133,34.0,22.0,29.0,26.0,33.0
148335,20.0,33.0,35.0,29.0,31.0
148436,11.0,35.0,26.0,37.0,33.0
148840,21.0,30.0,24.0,34.0,31.0
148941,6.0,34.0,30.0,37.0,40.0
149236,16.0,32.0,36.0,25.0,39.0
149741,9.0,29.0,26.0,38.0,33.0
149842,19.0,24.0,26.0,34.0,32.0
150625,11.0,35.0,23.0,34.0,40.0
150726,30.0,28.0,45.0,22.0,38.0
150928,20.0,38.0,36.0,33.0,36.0
151324,27.0,31.0,35.0,31.0,21.0
151425,18.0,34.0,21.0,41.0,38.0
151728,28.0,27.0,27.0,31.0,28.0
151829,17.0,20.0,16.0,39.0,40.0
151930,20.0,26.0,29.0,45.0,33.0
152225,1.0,25.0,23.0,38.0,32.0
152427,27.0,20.0,28.0,31.0,35.0
152831,26.0,18.0,36.0,25.0,21.0
153025,14.0,36.0,27.0,35.0,30.0
153126,16.0,27.0,25.0,34.0,29.0
153227,7.0,32.0,22.0,37.0,43.0
153631,38.0,26.0,35.0,35.0,36.0
153732,15.0,30.0,12.0,44.0,38.0
153833,17.0,29.0,33.0,32.0,32.0
153934,4.0,35.0,22.0,34.0,36.0
154229,25.0,23.0,24.0,40.0,27.0
154330,10.0,34.0,29.0,31.0,27.0
154532,15.0,37.0,28.0,31.0,27.0
154734,2.0,33.0,28.0,44.0,36.0
154835,17.0,34.0,34.0,32.0,32.0
154936,26.0,32.0,23.0,32.0,25.0
155635,15.0,26.0,28.0,37.0,23.0
155938,18.0,34.0,40.0,33.0,41.0
156031,8.0,26.0,22.0,40.0,33.0
156435,18.0,30.0,25.0,33.0,32.0
156536,11.0,25.0,26.0,33.0,31.0
157437,14.0,35.0,28.0,36.0,34.0
157942,34.0,28.0,21.0,24.0,35.0
158136,27.0,31.0,29.0,30.0,34.0
158338,19.0,34.0,40.0,29.0,37.0
158843,19.0,25.0,43.0,31.0,36.0
159138,2.0,40.0,32.0,45.0,39.0
159340,0.0,40.0,40.0,38.0,45.0
159441,22.0,36.0,15.0,34.0,37.0
159744,21.0,31.0,22.0,27.0,26.0
160729,14.0,36.0,36.0,30.0,36.0
160830,29.0,19.0,38.0,26.0,32.0
161630,0.0,28.0,27.0,43.0,40.0
161832,21.0,24.0,22.0,26.0,20.0
162026,18.0,33.0,26.0,29.0,36.0
162228,0.0,40.0,35.0,43.0,43.0
162733,19.0,31.0,29.0,33.0,37.0
162935,19.0,20.0,36.0,22.0,24.0
163129,17.0,40.0,31.0,35.0,40.0
163331,14.0,20.0,15.0,39.0,28.0
163836,22.0,30.0,29.0,31.0,22.0
164030,2.0,26.0,26.0,37.0,27.0
164131,21.0,18.0,30.0,26.0,34.0
164636,20.0,37.0,35.0,28.0,32.0
164939,42.0,25.0,28.0,26.0,36.0
165032,19.0,31.0,22.0,26.0,28.0
165436,28.0,28.0,30.0,22.0,37.0
165638,8.0,41.0,38.0,34.0,37.0
165941,22.0,22.0,23.0,29.0,23.0
166438,16.0,18.0,26.0,23.0,29.0
166640,14.0,32.0,34.0,41.0,24.0
167036,8.0,37.0,29.0,39.0,40.0
167238,13.0,27.0,21.0,35.0,37.0
167440,20.0,25.0,35.0,38.0,44.0
168139,14.0,33.0,23.0,36.0,34.0
168240,23.0,19.0,19.0,37.0,17.0
168341,11.0,30.0,33.0,36.0,34.0
168745,27.0,26.0,33.0,37.0,23.0
168947,13.0,35.0,35.0,34.0,35.0
169040,19.0,31.0,32.0,27.0,30.0
169444,20.0,40.0,19.0,31.0,42.0
169545,12.0,36.0,26.0,35.0,28.0
169949,1.0,31.0,26.0,39.0,33.0
